"ESTUDIO","CUES","CCAA","PROV","MUN","CAPITAL","TAMUNI","ENTREV","TIPO_TEL","SEXO","EDAD","P0","P1","P2","P3","P4","P4A_1","P4A_2","P4A_3","P4A_4","P4A_5","P4A_6","P4A_9","P4B","P4C","P4D","P4E","P4F","P4G_1","P4G_2","P4G_3","P4G_4","P4G_5","P4G_9","P4H_1","P4H_2","P4H_3","P4H_4","P4H_5","P4H_6","P4H_9","P4I","P5","P5A_1","P5A_2","P5A_3","P5A_4","P5B_1","P5B_2","P5B_3","P5B_4","P6","P6A","P7","P8","P9","P10","P11_1","P11_2","P12","P13_1","P13_2","P14_1","P14_2","P15","P16","P17_1","P17_2","P17_3","P18_1","P18_2","P18_3","P19_1","P19_2","P19_3","P19_4","P19_5","P20","P21","P22","INTENCIONG","ESCIDEOL","ESCIDEOLPOLI_1","ESCIDEOLPOLI_2","ESCIDEOLPOLI_3","ESCIDEOLPOLI_4","ESCIDEOLPOLI_5","P27_1","P27_2","P27_3","P27_4","P27_5","PARTICIPACIONG","FIDEVOTO","P31","ESCUELA","NIVELESTENTREV","RELIGION","ECIVIL","SITLAB","CNO11","CLASESOCIAL","IA_E1_DIA","IA_E1_MES","IA_E1_ANYO","IA_E2","IA_E3","IA_E4","P4A_7","P4A_8","P4A_10","P4A_11","VOTOSIMG","ESTUDIOS","CLASESUB"
3292,295,1,41,0,3,3,0,2,2,31,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,4,1,1,3,3,2,2,4,2,6,3,1,3,4,4,9,8,6,9,53,22,1,1,1,1,1,4,4,97,5,98,98,98,98,98,98,1,1,1,1,1,1,3,5,3,5,2,1,4,NA,4,1,9,20,2,16,4,NA,NA,NA,NA,97,5,3
3292,2781,1,41,0,3,3,0,1,2,31,1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,1,1,1,NA,1,2,2,4,3,1,7,3,2,9,2,5,8,4,2,8,6,53,97,99,99,5,5,3,3,7,4,3,6,3,7,1,7,1,10,8,5,7,5,2,9,1,3,1,3,11,1,2,1,2,3,5,9,20,6,17,3,NA,NA,NA,NA,4,6,2
3292,246,1,41,0,3,3,0,2,2,47,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,2,1,98,2,2,4,3,2,2,7,1,8,10,1,3,5,2,51,25,8,9,53,18,6,6,4,1,5,4,4,97,5,5,6,8,2,10,7,5,5,2,1,5,5,3,1,3,14,6,5,1,2,98,1,9,20,2,22,3,NA,NA,NA,NA,97,6,8
3292,1028,1,41,0,3,3,0,2,1,68,1,1,2,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,4,3,3,2,6,5,3,2,6,5,2,6,1,3,4,4,2,11,1,8,12,20,8,4,6,1,8,4,4,2,3,4,7,3,5,1,7,5,3,5,7,1,4,1,3,3,3,4,3,3,2,NA,4,2,9,20,3,27,3,NA,NA,NA,NA,18,3,3
3292,2251,1,41,0,3,3,0,2,2,33,1,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,98,2,2,5,2,1,5,4,2,10,4,4,6,4,4,23,99,99,8,1,96,2,2,2,97,97,3,3,97,5,98,98,98,98,98,98,2,2,97,2,97,1,2,5,3,7,2,2,4,NA,4,4,9,20,5,20,2,NA,NA,NA,NA,17,5,3
3292,2349,1,41,0,3,3,0,2,2,68,1,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,8,1,1,1,2,8,2,3,2,98,99,2,2,3,96,5,4,2,94,13,6,1,12,8,7,1,3,1,3,2,4,1,1,5,5,10,4,10,7,8,5,4,4,4,1,3,5,3,4,2,3,2,NA,4,4,9,20,5,31,3,NA,NA,NA,NA,2,3,3
3292,647,1,41,0,3,3,0,2,2,54,1,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,2,2,98,2,2,3,3,8,98,99,2,2,6,3,9,3,3,8,53,94,53,98,99,9,5,5,98,97,1,3,1,1,3,98,98,99,99,98,9,4,1,7,97,1,1,3,3,5,2,3,1,5,3,2,9,20,3,21,2,NA,NA,NA,NA,2,5,2
3292,1078,1,41,0,3,3,0,2,1,70,1,3,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,4,2,8,2,3,1,6,5,2,1,10,9,6,3,3,94,45,8,53,93,98,5,1,5,4,7,1,3,1,1,1,3,8,2,9,4,10,1,7,6,6,1,1,1,3,2,2,5,2,NA,3,2,9,20,3,18,3,NA,NA,NA,NA,2,2,2
3292,2615,1,41,0,3,3,0,1,1,67,1,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,1,1,4,3,2,5,4,1,3,1,2,8,5,2,1,53,8,53,8,46,8,1,8,1,6,1,4,1,1,1,5,8,1,10,6,8,1,1,8,6,1,2,1,3,11,6,1,2,NA,3,5,9,20,6,17,1,NA,NA,NA,NA,2,6,2
3292,268,1,41,0,3,2,0,2,2,39,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,3,1,2,4,3,2,7,4,2,9,8,4,6,4,2,6,16,9,22,6,98,7,1,7,1,2,2,4,4,2,2,4,10,2,10,7,7,1,1,7,5,1,3,3,3,9,6,1,1,1,3,1,9,20,2,15,4,NA,NA,NA,NA,21,6,2
3292,997,1,41,0,3,2,0,2,1,44,1,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,5,3,2,7,3,2,2,6,1,9,3,3,13,96,90,53,97,99,1,1,1,1,1,3,3,97,3,5,98,98,98,98,98,3,1,1,1,3,1,1,1,3,4,5,1,1,3,12,2,9,20,3,16,3,NA,NA,NA,NA,4,3,5
3292,1509,1,41,0,3,3,0,2,1,55,1,1,1,98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,96,2,1,2,3,2,98,99,1,1,9,8,96,4,3,90,99,99,1,9,98,8,1,4,1,4,1,3,1,1,1,1,10,1,10,5,10,1,1,5,3,1,1,2,3,2,9,1,2,NA,3,3,9,20,4,17,2,NA,NA,NA,NA,2,2,2
